index,x,y,z,x_u16,y_u16,z_u16
0,-11215,32,-6400,54321,32,59136
1,-10912,32,-6400,54624,32,59136
2,-10912,32,-6144,54624,32,59392
3,-11127,32,-6144,54409,32,59392
4,-11216,32,-6656,54320,32,58880
5,-10912,32,-6656,54624,32,58880
6,-11120,32,-6912,54416,32,58624
7,-10912,32,-6912,54624,32,58624
8,-11056,32,-7168,54480,32,58368
9,-10912,32,-7168,54624,32,58368
10,-8736,0,-7168,56800,0,58368
11,-8206,0,-7168,57330,0,58368
12,-8195,0,-6656,57341,0,58880
13,-8736,0,-6656,56800,0,58880
14,-8185,0,-6144,57351,0,59392
15,-8736,0,-6144,56800,0,59392
16,-7435,0,-6717,58101,0,58819
17,-7464,0,-6266,58072,0,59270
18,-7407,0,-7168,58129,0,58368
19,-6574,0,-7133,58962,0,58403
20,-6588,0,-6682,58948,0,58854
21,-6631,0,-6197,58905,0,59339
22,-12191,1800,-7216,53345,1800,58320
23,-12191,1369,-7216,53345,1369,58320
24,-11963,1422,-6293,53573,1422,59243
25,-11963,1835,-6293,53573,1835,59243
26,-11958,901,-7340,53578,901,58196
27,-11958,573,-7340,53578,573,58196
28,-11811,624,-6439,53725,624,59097
29,-11811,927,-6439,53725,927,59097
30,-12191,2231,-7216,53345,2231,58320
31,-11963,2247,-6293,53573,2247,59243
32,-11958,1228,-7340,53578,1228,58196
33,-11811,1229,-6439,53725,1229,59097
34,-12462,2432,-7075,53074,2432,58461
35,-12203,2432,-6178,53333,2432,59358
36,-11229,464,-7168,54307,464,58368
37,-11229,64,-7168,54307,64,58368
38,-11421,64,-6912,54115,64,58624
39,-11421,464,-6912,54115,464,58624
40,-11421,64,-6400,54115,64,59136
41,-11421,464,-6400,54115,464,59136
42,-11245,704,-7160,54291,704,58376
43,-11213,672,-7176,54323,672,58360
44,-11405,672,-6904,54131,672,58632
45,-11437,704,-6920,54099,704,58616
46,-11213,480,-7176,54323,480,58360
47,-11405,480,-6904,54131,480,58632
48,-11405,672,-6400,54131,672,59136
49,-11437,704,-6400,54099,704,59136
50,-11405,480,-6400,54131,480,59136
51,-11088,64,-7168,54448,64,58368
52,-11152,64,-6912,54384,64,58624
53,-11248,64,-6656,54288,64,58880
54,-11421,64,-6656,54115,64,58880
55,-11247,64,-6400,54289,64,59136
56,-11159,64,-6144,54377,64,59392
57,-11421,64,-6144,54115,64,59392
58,-8928,3,-6656,56608,3,58880
59,-8864,3,-6656,56672,3,58880
60,-8864,3,-6400,56672,3,59136
61,-8928,3,-6400,56608,3,59136
62,-9984,3,-7168,55552,3,58368
63,-9952,3,-7168,55584,3,58368
64,-9952,3,-6912,55584,3,58624
65,-9984,3,-6912,55552,3,58624
66,-10144,3,-7168,55392,3,58368
67,-10112,3,-7168,55424,3,58368
68,-10112,3,-6912,55424,3,58624
69,-10144,3,-6912,55392,3,58624
70,-8928,3,-6912,56608,3,58624
71,-8864,3,-6912,56672,3,58624
72,-9952,3,-6656,55584,3,58880
73,-9984,3,-6656,55552,3,58880
74,-10112,3,-6656,55424,3,58880
75,-10144,3,-6656,55392,3,58880
76,-8928,3,-7168,56608,3,58368
77,-8864,3,-7168,56672,3,58368
78,-9952,3,-6400,55584,3,59136
79,-9984,3,-6400,55552,3,59136
80,-10112,3,-6400,55424,3,59136
81,-10144,3,-6400,55392,3,59136
82,-8864,3,-6144,56672,3,59392
83,-8928,3,-6144,56608,3,59392
84,-9952,3,-6144,55584,3,59392
85,-9984,3,-6144,55552,3,59392
86,-10112,3,-6144,55424,3,59392
87,-10144,3,-6144,55392,3,59392
88,-8868,3,-7168,56668,3,58368
89,-8868,464,-7168,56668,464,58368
90,-8844,464,-7154,56692,464,58382
91,-8844,3,-7154,56692,3,58382
92,-10010,35,-7154,55526,35,58382
93,-10010,464,-7154,55526,464,58382
94,-9986,464,-7168,55550,464,58368
95,-9986,35,-7168,55550,35,58368
96,-10112,35,-6912,55424,35,58624
97,-10112,35,-6656,55424,35,58880
98,-9984,35,-6912,55552,35,58624
99,-9984,35,-6656,55552,35,58880
100,-10112,35,-7168,55424,35,58368
101,-9984,35,-7168,55552,35,58368
102,-9984,35,-6400,55552,35,59136
103,-9984,35,-6144,55552,35,59392
104,-10112,35,-6400,55424,35,59136
105,-10112,35,-6144,55424,35,59392
106,-10816,32,-7168,54720,32,58368
107,-10816,32,-6912,54720,32,58624
108,-10816,0,-7168,54720,0,58368
109,-10816,0,-6912,54720,0,58624
110,-10816,32,-6656,54720,32,58880
111,-10816,0,-6656,54720,0,58880
112,-10816,32,-6400,54720,32,59136
113,-10816,0,-6400,54720,0,59136
114,-10816,32,-6144,54720,32,59392
115,-10816,0,-6144,54720,0,59392
116,-10636,0,-6400,54900,0,59136
117,-10636,0,-6144,54900,0,59392
118,-10636,0,-6656,54900,0,58880
119,-10636,0,-6912,54900,0,58624
120,-10636,0,-7168,54900,0,58368
121,-10496,0,-6400,55040,0,59136
122,-10356,0,-6400,55180,0,59136
123,-10356,0,-6144,55180,0,59392
124,-10496,0,-6144,55040,0,59392
125,-10496,0,-6656,55040,0,58880
126,-10356,0,-6656,55180,0,58880
127,-10496,0,-6912,55040,0,58624
128,-10356,0,-6912,55180,0,58624
129,-10496,0,-7168,55040,0,58368
130,-10356,0,-7168,55180,0,58368
131,-10176,0,-6400,55360,0,59136
132,-10176,0,-6144,55360,0,59392
133,-10176,0,-6656,55360,0,58880
134,-10176,0,-6912,55360,0,58624
135,-10176,0,-7168,55360,0,58368
136,-9920,0,-6656,55616,0,58880
137,-9880,0,-6656,55656,0,58880
138,-9880,0,-6400,55656,0,59136
139,-9920,0,-6400,55616,0,59136
140,-9920,0,-7168,55616,0,58368
141,-9880,0,-7168,55656,0,58368
142,-9880,0,-6912,55656,0,58624
143,-9920,0,-6912,55616,0,58624
144,-8960,0,-6656,56576,0,58880
145,-9000,0,-6656,56536,0,58880
146,-9000,0,-6912,56536,0,58624
147,-8960,0,-6912,56576,0,58624
148,-8960,0,-6144,56576,0,59392
